0	445
1	559
2	617
3	1025
4	1026
5	19
6	25
7	343
8	80
9	493
10	147
11	472
12	582
13	551
14	548
15	1078
16	51
17	637
18	40
19	721
20	723
21	189
22	199
23	18
24	780
25	119
26	480
27	743
28	1048
29	425
30	704
31	1104
32	671
33	400
34	391
35	53
36	953
37	169
38	239
39	262
40	48
41	636
42	356
43	187
44	1074
45	368
46	150
47	257
48	952
49	331
50	74
51	327
52	163
53	713
54	681
55	497
56	153
57	768
58	1042
59	182
60	785
61	372
62	383
63	674
64	538
65	459
66	155
67	752
68	62
69	908
70	13
71	142
72	962
73	760
74	541
75	311
76	90
77	1030
78	1084
79	1081
80	1065
81	4
82	58
83	339
84	508
85	539
86	1043
87	232
88	250
89	1016
90	244
91	696
92	665
93	31
94	285
95	407
96	468
97	451
98	406
99	346
100	450
101	29229
102	1014
103	926
104	175
105	474
106	950
107	483
108	268
109	229
110	403
111	664
112	253
113	295
114	879
115	1037
116	376
117	800
118	267
119	22
120	987
121	263
122	38
123	392
124	226
125	977
126	1102
127	41
128	365
129	744
130	823
131	753
132	891
133	790
134	87
135	114
136	370
137	970
138	352
139	589
140	796
141	542
142	543
143	1024
144	1023
145	811
146	338
147	923
148	778
149	496
150	420
151	435
152	421
153	922
154	228
155	44
156	839
157	237
158	255
159	779
160	726
161	124
162	1006
163	437
164	1021
165	1020
166	717
167	773
168	1077
169	269
170	36
171	652
172	570
173	632
174	344
175	270
176	388
177	387
178	366
179	367
180	906
181	813
182	185
183	1090
184	1091
185	463
186	428
187	473
188	964
189	191
190	495
191	900
192	297
193	417
194	595
195	418
196	33
197	851
198	416
199	596
200	834
201	1002
202	662
203	510
204	833
205	549
206	550
207	598
208	847
209	658
210	157
211	719
212	720
213	605
214	422
215	604
216	164
217	572
218	342
219	938
220	821
221	826
222	702
223	540
224	583
225	54
226	526
227	769
228	537
229	724
230	693
231	21
232	42272
233	684
234	553
235	907
236	657
237	1050
238	117
239	733
240	91
241	431
242	639
243	447
244	128
245	138
246	259
247	446
248	666
249	464
250	292
251	829
252	118
253	96
254	98
255	286
256	924
257	78
258	405
259	398
260	433
261	1031
262	260
263	93
264	397
265	104
266	32
267	82
268	380
269	960
270	742
271	899
272	277
273	341
274	340
275	364
276	524
277	853
278	824
279	659
280	10
281	353
282	673
283	210
284	943
285	689
286	1001
287	651
288	625
289	882
290	88
291	751
292	50
293	722
294	325
295	626
